NUVA,label,comment,abstract
VAC['0453'],VTV (VACINA TRIPLICE VIRAL),"Live attenuated measles, mumps and rubella vaccine",False
VAC['0454'],VVR CANTACUZINO,Live attenuated measles vaccine,False
VAC['0456'],WELLTRIVAX TRIVALENTE,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated or acellular, unspecified dose) pediatric vaccine",False
VAC['0457'],YF-VAX,Live attenuated yellow fever vaccine,False
VAC['0458'],ZAANTIDE antitoxin,Diphtheria antitoxin immunoglobulin,False
VAC['0459'],ZAANTITE,Tetanus toxoid vaccine,False
VAC['0460'],ZADITEADVAX,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0461'],ZADITEVAX,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0462'],ZAMEVAX A+C,"Unconjugated meningococcal polysaccharide vaccine, serogroups A and C",False
VAC['0463'],ZAMOVAX,Live attenuated measles vaccine,False
VAC['0464'],ZAMRUVAX,Live attenuated measles and rubella vaccine,False
VAC['0465'],ZARUVAX,Live attenuated rubella vaccine,False
VAC['0466'],ZATETRAVAX,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated or acellular, unspecified dose) pediatric vaccine",False
VAC['0467'],ZATEVAX,Tetanus toxoid vaccine,False
VAC['0468'],ZATRIBAVAX,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0469'],ZATRIVAX,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0470'],QUINVAXEM,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to diphtheria toxoid) and hepatitis B (recombinant) pediatric vaccine",False
VAC['0471'],HEPAVAX-GENE B 20 µg,"Recombinant hepatitis B vaccine, adult dose",False
VAC['0472'],PREPANDRIX,Influenza A(H5N1) vaccine,False
VAC['0473'],PRE-PANDEMIC INFLUENZA VACCINE H5N1,"Influenza A(H5N1) vaccine (split, adjuvanted)",False
VAC['0474'],DARONRIX,Influenza A(H5N1) vaccine,False
VAC['0475'],FOCLIVIA,Influenza A(H5N1) vaccine,False
VAC['0476'],PANDEMIC INFLUENZA VACCINE H5N1 BAXTER,"Influenza A(H5N1) vaccine (whole virion, Vero cell cultured, inactivated) multidose",False
VAC['0477'],PUMARIX,Influenza A(H5N1) vaccine,False
VAC['0478'],COVAXIS,"Diphtheria toxoid (low dose), tetanus toxoid and pertussis (multicomponent acellular, low dose) vaccine",False
VAC['0479'],TRIAXIS,"Diphtheria toxoid (low dose), tetanus toxoid and pertussis (multicomponent acellular, low dose) vaccine",False
VAC['0480'],FENDRIX,"Recombinant hepatitis B vaccine, dialysis patient dosage",False
VAC['0481'],TRIVIVAX,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0482'],VEPACEL,"Influenza A(H5N1) vaccine (whole virion, Vero cell cultured, inactivated)",False
VAC['0483'],FLUAD PAEDIATRICS,Trivalent inactivated seasonal influenza vaccine,False
VAC['0484'],RABIVAX-S,Whole virion inactivated rabies vaccine,False
VAC['0485'],TETAGAM P (immunoglobuline),Anti-tetanus immunoglobulin,False
VAC['0486'],NIMENRIX,"Quadrivalent meningococcal polysaccharide conjugate vaccine, serogroups A, C, W and Y (conjugated to tetanus toxoid)",False
VAC['0487'],MENHIBRIX,"Haemophilus influenzae type b and meningococcal conjugate vaccine, serogroup A and C (conjugated to tetanus toxoid)",False
VAC['0488'],PENTAXIM,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0489'],TRIMOVAX,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0490'],KINRIX,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0491'],TENIVAC,Diphtheria toxoid (low dose) and tetanus toxoid vaccine,False
VAC['0492'],AFLURIA,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0494'],TRITANRIX HepB,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and hepatitis B (recombinant) pediatric vaccine",False
VAC['0495'],BEXSERO,"4-component meningococcal vaccine, serogroup B",False
VAC['0496'],GAMMATETANOS (immunoglobuline),Anti-tetanus immunoglobulin,False
VAC['0497'],"Tetanus immunoglobulin, unspecified",Anti-tetanus immunoglobulin,True
VAC['0498'],IMOGAM RAGE,"Rabies immunoglobulin, human origin",False
VAC['0499'],BENIRAB (immunoglobuline),"Rabies immunoglobulin, human origin",False
VAC['0500'],FAVIRAB,"Rabies immunoglobulin, equine origin",False
VAC['0501'],EQUIRAB (immunoglobuline),"Rabies immunoglobulin, equine origin",False
VAC['0502'],"Rabies immunoglobulin, unspecified","Rabies immunoglobulin, human or equine origin",True
VAC['0503'],"Rabies immunoglobulin equine origin, unspecified","Rabies immunoglobulin, equine origin",True
VAC['0504'],INFANRIX POLIO HIB NOURRISSONS,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0505'],HIBEST,"Haemophilus influenzae type b vaccine, capsular polysaccharide (polyribosylribitol phosphate, PRP) conjugated to tetanus toxoid",False
VAC['0506'],"Pentavalent DTaPHibIPV vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated, unspecified) and inactivated polio (trivalent) pediatric vaccine",True
VAC['0507'],HEXACIMA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0508'],JEEV 3 µg,"Whole inactivated Japanese encephalitis vaccine, prepared in Vero cells, 3 micrograms",False
VAC['0509'],BIKEN,"Whole virion inactivated Japanese encephalitis vaccine, mouse brain-derived, Nakayama strain - Other name: JEVAX",False
VAC['0510'],HEXYON,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 2 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0511'],SILGARD,"Human Papillomavirus vaccine, based on VLP (Virus Like Particles), nonavalent (types 6, 11, 16, and 18), recombinant, adsorbed",False
VAC['0512'],"Typhus vaccine, unspecified",Vaccine against epidemic typhus (epidemic lice typhus),True
VAC['0513'],HEPATYRIX,"Hepatitis A (inactivated, adsorbed) and typhoid vaccine (polysaccharide)",False
VAC['0514'],ROTARIX,"Monovalent rotavirus vaccine, oral",False
VAC['0515'],INFANRIX-POLIO,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0516'],ABHAYRAB,Whole virion inactivated rabies vaccine,False
VAC['0517'],FLUARIXTETRA,"Quadrivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0518'],STAMARIL (multidose),Live attenuated yellow fever vaccine,False
VAC['0520'],IMVANEX,"Smallpox vaccine, third generation, modified vaccinia virus Ankara, non-replicative",False
VAC['0521'],FLUENZ TETRA,"Live attenuated quadrivalent seasonal influenza vaccine, nasal",False
VAC['0523'],GARDASIL 9,"Human Papillomavirus vaccine, based on VLP (Virus Like Particles), nonavalent (types 6, 11, 16, 18, 31, 33, 45, 52, and 58), recombinant, adsorbed",False
VAC['0524'],TEVAX,Tetanus toxoid vaccine,False
VAC['0525'],INFANRIX PENTA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0526'],HECOLIN,Recombinant Hepatitis E Peptide vaccine,False
VAC['0527'],VACCIN DIPHTERIQUE ET TETANIQUE ADSORBE,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0528'],MOSQUIRIX,Hepatitis B and malaria vaccine,False
VAC['0529'],IMOVAX TETANO,Tetanus toxoid vaccine,False
VAC['0530'],TETANOL PUR,Tetanus toxoid vaccine,False
VAC['0531'],TETANOS ADSORBE MERIEUX,Tetanus toxoid vaccine,False
VAC['0532'],TETANUS VACCIN,"Tetanus toxoid vaccine, marketed in Holland by Bilthoven Biologicals",False
VAC['0534'],MENJUGATE 10 µg,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False
VAC['0535'],VAXELIS,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated to outer membrane protein of Neisseria meningitidis serogroup B), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0538'],VACCIN BCG BIOMED-LUBLIN,Tuberculosis vaccine,False
VAC['0539'],DENGVAXIA,"Live attenuated, chimeric recombinant, quadrivalent vaccine against the four serotypes (1, 2, 3 and 4) of dengue virus (based on yellow fever vaccine 17D)",False
VAC['0540'],IPAD T,Tetanus toxoid vaccine,False
VAC['0541'],BOOSTRIX,"Diphtheria toxoid (low dose), tetanus toxoid and pertussis (multicomponent acellular, low dose) vaccine",False
VAC['0542'],Vaccin D.T.P. Pasteur,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False
VAC['0543'],HEXAXIM,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0544'],TETRAXIM,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0545'],EUVAX B 20 µg,"Recombinant hepatitis B vaccine, adult dose",False
VAC['0546'],DULTAVAX,"Diphtheria toxoid (low dose), tetanus toxoid and inactivated polio (trivalent) vaccine, adsorbed",False
VAC['0549'],"dTIPV - Diphtheria-Tetanus-Polio, low dose, unspecified","Diphtheria toxoid (low dose), tetanus toxoid and inactivated polio (trivalent) vaccine",True
VAC['0550'],"Measles-Rubella vaccine, unspecified",Live attenuated measles and rubella vaccine,True
VAC['0551'],"DTaPIPV vaccine, standard dose, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",True
VAC['0552'],"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated, unspecified), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine",True
VAC['0553'],"Pentavalent DTwPHibIPV vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated, unspecified) and inactivated polio (trivalent) pediatric vaccine",True
VAC['0554'],PEDIACEL,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0555'],COMBACT-HIB,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0556'],MENITORIX,"Haemophilus influenzae type b and meningococcal conjugate vaccine, serogroup C (conjugated to tetanus toxoid)",False
VAC['0560'],VAXIGRIPTETRA,"Quadrivalent inactivated seasonal influenza vaccine, surface antigens",False
VAC['0561'],IMOJEV,"Live attenuated Japanese encephalitis vaccine, recombinant chimeric",False
VAC['0562'],INFLUVAC TETRA,Quadrivalent inactivated seasonal influenza vaccine with surface antigens,False
VAC['0563'],ALPHA-RIX-TETRA,"Quadrivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0566'],PNEUMOCOCCAL POLYSACCHARIDE VACCINE MSD,"Unconjugated pneumococcal polysaccharide vaccine, 23-valent, serotypes 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F and 33F",False
VAC['0567'],SHINGRIX,"Shingles vaccine (recombinant, with adjuvant)",False
VAC['0568'],BOOSTRIX-POLIO,"Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",False
VAC['0569'],INFANRIX-IPV,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0570'],HIBERIX,Haemophilus influenzae type b conjugate vaccine (tetanus protein conjugate),False
VAC['0573'],AGRIFLU,"Trivalent inactivated seasonal influenza vaccine, surface antigen",False
VAC['0574'],Td POLIO ADSORBED,"Diphtheria toxoid (low dose), tetanus toxoid and inactivated polio (trivalent) vaccine, adsorbed",False
VAC['0575'],FSME-IMMUN,"Tick-borne encephalitis vaccine, whole-virus inactivated, Neudörfl strain, adult dose",False
VAC['0576'],FLUVIRAL,Trivalent inactivated seasonal influenza vaccine,False
VAC['0577'],TRIPACEL HYBRID,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0578'],INFANRIX-HIB,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and Haemophilus influenzae type b (conjugated to tetanus toxoid) pediatric vaccine",False
VAC['0579'],CLAIRYG 50 mg/mL,"Measles immunoglobulin, human origin",False
VAC['0580'],CLAIRYG,"Measles immunoglobulin, human origin",False
VAC['0582'],TRUMENBA,"Meningococcal vaccine, serogroup B (recombinant, adsorbed)",False
VAC['0585'],"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified","Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",True
VAC['0586'],ERVEBO,"Ebola Zaire vaccine (rVSVΔG-ZEBOV-GP, live)",False
VAC['0590'],VACCIN BCG AJVACCINES,Tuberculosis vaccine,False
VAC['0591'],VIVAXIM,"Hepatitis A (inactivated, adsorbed) and typhoid vaccine (polysaccharide), presented in a two-compartment syringe",False
VAC['0592'],SPEEDA,"Whole virion inactivated rabies vaccine, cultured on Vero cells",False
VAC['0593'],VERORAB,"Whole virion inactivated rabies vaccine, WISTAR PM/WI 38-1503-3M strain, cultured on Vero cells, inactivated with ß-propiolactone",False
VAC['0594'],MENQUADFI,"Quadrivalent meningococcal polysaccharide conjugate vaccine, serogroups A, C, W and Y (conjugated to tetanus toxoid)",False
VAC['0595'],FLUCELVAX TETRA,"Quadrivalent inactivated seasonal influenza vaccine, cell-based",False
VAC['0596'],"DTaPHibHepB pentavalent vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated, unspecified) and hepatitis B (recombinant) pediatric vaccine",True
VAC['0598'],"DTwPHibHepB pentavalent vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated, unspecified) and hepatitis B (recombinant) pediatric vaccine",True
VAC['0599'],"DTPerHibHepB pentavalent vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, unspecified dose), Haemophilus influenzae type b (conjugated, unspecified) and hepatitis B (recombinant) pediatric vaccine",True
VAC['0600'],"OPV bivalent 1-3, unspecified","Polio vaccine (live attenuated, bivalent) against poliovirus types 1 and 3, oral",True
VAC['0601'],"DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated or acellular, unspecified dose) pediatric vaccine",True
VAC['0602'],"DTaP - Diphtheria-Tetanus-Pertussis vaccine, standard dose, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",True
VAC['0603'],COMVAC3,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0610'],"Tdap - Diphtheria-Tetanus-Pertussis vaccine, low dose, unspecified","Diphtheria toxoid (low dose), tetanus toxoid and pertussis (multicomponent acellular, low dose) vaccine",True
VAC['0611'],SHAN-5,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and hepatitis B (recombinant) pediatric vaccine - Other name: DTwP-Hep B-Hib Liquid Vaccine",False
VAC['0612'],DTP-vax FINLAY,"Diphtheria toxoid (standard dose), tetanus toxoid and whole-cell inactivated pertussis pediatric vaccine",False
VAC['0613'],BORYUNG DTap VACCINE,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0614'],TDAPBOOSTER AJ VACCINES,"Diphtheria toxoid (low dose), tetanus toxoid and pertussis (multicomponent acellular, low dose) vaccine",False
VAC['0615'],VACCIN T.P. PASTEUR,Tetanus toxoid and inactivated polio (trivalent) vaccine,False
VAC['0620'],IXCHIQ,Live attenuated chikungunya vaccine,False
VAC['0621'],MENC VACCINE FUNED,"Meningococcal conjugate Vaccine, serogroup C (conjugated to tetanus toxoid, Produced by the Ezequiel Dias Foundation)",False
VAC['0622'],EOLARIX,Live attenuated measles and rubella vaccine,False
VAC['0623'],"Measles-mumps vaccine, unspecified",Live attenuated measles and mumps vaccine,True
VAC['0624'],M-M-Vax,Live attenuated measles and mumps vaccine,False
VAC['0625'],MORATEN,Live attenuated measles vaccine,False
VAC['0626'],MoRu Viraten,Live attenuated measles and rubella vaccine,False
VAC['0627'],MORUMAN,Live attenuated measles vaccine,False
VAC['0628'],Immravax,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0631'],MENINVACTKIT,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False
VAC['0632'],OPVERO,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False
VAC['0633'],ZABDENO,Ebola virus vaccine with live non-replicating recombinant virus vector,False
VAC['0634'],MVABEA,Ebola virus vaccine with non-replicating viral vector,False
VAC['0635'],PREFLUCEL,"Trivalent inactivated seasonal influenza vaccine, purified antigens",False
VAC['0636'],FLUMIST QUADRIVALENT,Live attenuated quadrivalent seasonal influenza vaccine,False
VAC['0637'],IPAD DT,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0638'],IPAD POLIO,Inactivated polio (trivalent) vaccine,False
VAC['0639'],ADACEL POLIO,"Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",False
VAC['0640'],TRITANRIX HepB+Hib,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and hepatitis B (recombinant) pediatric vaccine",False
VAC['0641'],GLOBORIX,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and meningococcal pediatric vaccine, serogroup A and C",False
VAC['0642'],FLUZONE HIGH-DOSE QUADRIVALENT,"High-dose, quadrivalent inactivated seasonal influenza vaccine, split-virion",False
VAC['0643'],"Meningococcal ACWY conjugate vaccine, unspecified","Quadrivalent meningococcal polysaccharide conjugate vaccine, serogroups A, C, W and Y",True
VAC['0644'],QDENGA,"Live attenuated, chimeric recombinant, quadrivalent vaccine against the four serotypes (1, 2, 3 and 4) of dengue virus
Other names: TAK-003; DENVAX",False
VAC['0645'],IMMU ORR,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0646'],CECOLIN,"Human Papillomavirus vaccine, based on VLP (Virus Like Particles), bivalent (types 16 and 18), recombinant (Escherichia coli-expressed)",False
VAC['0647'],ROTASIIL,Rotavirus vaccine,False
VAC['0648'],"COVID-19 vaccine, unspecified",COVID-19 vaccine,True
VAC['0649'],EFLUELDA TETRA,"High-dose, quadrivalent inactivated seasonal influenza vaccine, split-virion",False
VAC['0650'],VAXZEVRIA ASTRAZENECA,"COVID-19 vaccine, non-replicating chimpanzee adenoviral vector ChAdOx1 encoding the SARS-CoV-2 spike protein",False
VAC['0651'],CORONAVAC COVID-19 VACCINE,"COVID-19 vaccine, whole virion inactivated, adjuvanted (adjuvant: aluminium hydroxide)",False
VAC['0652'],CONVIDECIA,"COVID-19 vaccine, non-replicating adenovirus 5 vector encoding the SARS-CoV-2 spike protein",False
VAC['0653'],"Hepatitis A + Hepatitis B vaccine Child, unspecified","Combined hepatitis A and B vaccine, pediatric dose",True
VAC['0654'],"Hepatitis A + Hepatitis B vaccine Adult, unspecified","Combined hepatitis A and B vaccine, adult dose",True
VAC['0655'],"Diphtheria vaccine, unspecified",Diphtheria toxoid (unspecified dose),True
VAC['0656'],"SPIKEVAX 0,2 mg/mL MODERNA",COVID-19 mRNA vaccine,False
VAC['0657'],SINOPHARM WUHAN COVID-19 VACCINE,"COVID-19 vaccine, whole virion inactivated (Vero cell culture)",False
VAC['0658'],COMIRNATY 30 µg BIONTECH-PFIZER,"Covid 19 mRNA vaccine, from age 12, 30 micrograms",False
VAC['0659'],ZIFIVAX ANHUI COVID-19 VACCINE,"COVID-19 vaccine, protein subunit",False
VAC['0660'],CHINESE-IMB-INACTIVATED-COVID,"COVID-19 vaccine, whole virion inactivated",False
VAC['0661'],INOVIO-DNA-COVID,COVID-19 plasmid DNA vaccine,False
VAC['0662'],OSAKA-DNA-COVID / AG0301-COVID19,COVID-19 plasmid DNA vaccine,False
VAC['0663'],CADILA-DNA-COVID,COVID-19 plasmid DNA vaccine,False
VAC['0664'],GX-19-DNA-Covid,COVID-19 plasmid DNA vaccine,False
VAC['0665'],COVAXIN BHARAT BIOTECH COVID-19 VACCINE,"COVID-19 vaccine, whole virion inactivated, adjuvated (adjuvant : TLR 7 and 8 agonist imidazoquinoline molecule adsorbed on aluminium hydroxide). Other names: BBV152, Bharat Inactivated Covid Vaccine",False
VAC['0666'],JCOVDEN (ancien nom : JANSSEN COVID-19 VACCINE),COVID-19 vaccine with non-replicating viral vector (adenovirus),False
VAC['0667'],NUVAXOVID,"COVID-19 vaccine, protein subunit, recombinant spike protein nanoparticles, with adjuvant (Matrix M) - Other name: NOVAVAX NVX-CoV2373 COVID-19 Vaccine",False
VAC['0668'],KENTUCKY-RBD-COVID,"COVID-19 vaccine, protein subunit",False
VAC['0669'],ARCTURUS-RNA-COVID,"COVID-19 vaccine, mRNA encoding the SARS-CoV-2 spike protein, ongoing clinical trial",False
VAC['0670'],SPOUTNIK V,"COVID-19 vaccine, non-replicating adenoviral vector encoding the SARS-CoV-2 spike protein",False
VAC['0671'],CLOVER-SPIKE-SCB-2019-COVID,"COVID-19 vaccine, protein subunit, recombinant spike protein",False
VAC['0672'],VAXINE-SPIKE-COVID,"COVID-19 vaccine, protein subunit, recombinant spike protein, with adjuvant (Advax)",False
VAC['0673'],QUEENSLAND-SPIKE-MF59-COVID,"COVID-19 vaccine, protein subunit, recombinant spike protein, with adjuvant (MF59)",False
VAC['0674'],PASTEUR-MSD MEASLES VECTOR COVID,"COVID-19 vaccine, replicating measles virus vector encoding the SARS-CoV-2 spike protein",False
VAC['0675'],IMPERIAL-COLLEGE-RNA-COVID,"COVID-19 vaccine, mRNA encoding the SARS-CoV-2 spike protein, ongoing clinical trial",False
VAC['0676'],CUREVAC-RNA-COVID,"COVID-19 vaccine, mRNA encoding the SARS-CoV-2 spike protein, ongoing clinical trial",False
VAC['0677'],CHINESE-PLA-ARN-Covid,"COVID-19 vaccine, mRNA encoding the SARS-CoV-2 spike protein, ongoing clinical trial",False
VAC['0678'],Medicago-VLP-Covid,"COVID-19 vaccine, VLP, recombinant spike protein, with adjuvant",False
VAC['0679'],MEDIGEN-S-2P-CpH1018-COVID,"COVID-19 vaccine, protein subunit, recombinant spike protein, S-2P and CpG1018",False
VAC['0680'],COVILO SINOPHARM COVID-19 VACCINE,"COVID-19 vaccine, whole virion inactivated, Vero cell-cultured - Other names : SINOPHARM BBIBP-CorV COVID-19 ; COVID-19 Vaccine BIBP",False
VAC['0681'],GRAD-COV2 COVID-19 VACCINE REITHERA,"COVID-19 vaccine, non-replicating adenoviral vector encoding the SARS-CoV-2 spike protein",False
VAC['0682'],FLUQUADRI,Quadrivalent inactivated seasonal influenza vaccine with surface antigens,False
VAC['0683'],EpiVacCorona,"COVID-19 vaccine, protein subunit, recombinant spike protein",False
VAC['0684'],QAZVAC,"COVID-19 vaccine, whole virion inactivated",False
VAC['0685'],VIDPREVTYN BETA,"COVID-19 vaccine, protein subunit, recombinant spike protein, with ASO3 adjuvant. Other name: Sanofi-GSK Recombinant COVID-19 Vaccine.",False
VAC['0686'],MULTI-PEPTIDE-pVAC-COVID,"COVID-19 vaccine, protein subunit, recombinant spike protein, adapted to human major histocompatibility complex II molecules",False
VAC['0687'],UB-612 COVID-19 Vaccine,"COVID-19 vaccine, protein subunit, recombinant spike protein (based on S1 and S2 subunits of the Spike protein and M and N proteins of SARS-CoV-2)",False
VAC['0688'],INTRANASAL FLU-BASED RBD DelNS1-2019-nCoV-RBD-OPT1 COVID-19 Vaccine,"COVID-19 vaccine, replicating influenza virus vector, recombinant RBD protein, intranasal spray",False
VAC['0689'],CHINESE-RECOMBINANT-Sf9-COVID,"COVID-19 vaccine, protein subunit, recombinant spike protein, expressed by Baculovirus cultured on Sf9 cells",False
VAC['0690'],CHINESE-AD5-NCOV-COVID,"COVID-19 vaccine, non-replicating adenovirus 5 vector encoding the SARS-CoV-2 spike protein",False
VAC['0691'],FINLAY-FR-1,"COVID-19 vaccine, protein subunit, recombinant spike protein",False
VAC['0692'],COVAXX,"COVID-19 vaccine, protein subunit",False
VAC['0693'],VXA-COV2-1-COVID,"COVID-19 vaccine, non-replicating adenovirus 5 vector encoding the SARS-CoV-2 spike protein, adjuvanted, oral tableted",False
VAC['0694'],LMU-MVA-SARS-2-S-COVID,"COVID-19 vaccine, non-replicating modified Vaccinia Virus Ankara vector encoding the SARS-CoV-2 spike protein",False
VAC['0695'],RBD-HBsAg-VLPs-Covid,"COVID-19 vaccine, VLP, recombinant spike protein. The RBD antigen of SARS-Cov-2 is conjugated to the HBs antigen of hepatitis B virus",False
VAC['0696'],KCONVAC MINHAI COVID-19 VACCINE,"COVID-19 vaccine, whole virion inactivated (Vero cell culture)",False
VAC['0697'],V590 (COVID-19),"COVID-19 vaccine, replicating vesicular stomatitis virus vector encoding the SARS-CoV-2 spike protein",False
VAC['0698'],hAd5-COVID-19,"COVID-19 vaccine, non-replicating adenovirus 5 vector encoding the SARS-CoV-2 S and N protein",False
VAC['0699'],IIBR's RECOMBINANT VSV-DeltaG-spike VACCINE,"COVID-19 vaccine, replicating vesicular stomatitis virus vector encoding the SARS-CoV-2 spike protein",False
VAC['0701'],BACTRL-SPIKE,"COVID-19 plasmid DNA vaccine, encoding the spike protein of SARS-CoV-2 carried by Bifidobacterium longum, oral",False
