CIS,NUVA,CIS label, NUVA label
CIS-64208590,VAC1467,"COMIRNATY LP.8.1 3 microgrammes/dose, dispersion à diluer pour dispersion injectable. Vaccin à ARNm contre la COVID-19","COMIRNATY LP.8.1 3 µg"
CIS-67364121,VAC1468,"COMIRNATY LP.8.1 10 microgrammes/dose, dispersion injectable. Vaccin à ARNm contre la COVID-19","COMIRNATY LP.8.1 10 µg"
CIS-68015521,VAC0036,"TETAGRIP, suspension injectable en seringue préremplie, vaccin tétanique et grippal inactivé à virion fragmenté","TETAGRIP"
CIS-69725264,VAC0040,"TYAVAX, suspension et solution pour suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé) et typhoïdique polyosidique","TYAVAX"
CIS-61920725,VAC0052,"VACCIN MENINGOCOCCIQUE A+C POLYOSIDIQUE, poudre et solvant pour suspension injectable en seringue préremplie","VACCIN MENINGOCOCCIQUE A+C"
CIS-65277632,VAC0052,"VACCIN MENINGOCOCCIQUE A+C POLYOSIDIQUE, poudre et solvant pour suspension injectable en multidose","VACCIN MENINGOCOCCIQUE A+C"
CIS-63834164,VAC0057,"TWINRIX ADULTE, suspension injectable. Vaccin de l'hépatite A (inactivé) et de l'hépatite B (ADNr) (HAB) (adsorbé)","TWINRIX 20 µg"
CIS-65991659,VAC0057,"TWINRIX ADULTE, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé) et de l'hépatite B (ADNr) (HAB) (adsorbé)","TWINRIX 20 µg"
CIS-64737775,VAC0058,"TWINRIX ENFANT, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé) et de l'hépatite B (ADNr) (HAB) (adsorbé)","TWINRIX 10 µg"
CIS-69567686,VAC0058,"TWINRIX ENFANT, suspension injectable. Vaccin de l'hépatite A (inactivé) et de l'hépatite B (ADNr) (HAB) (adsorbé)","TWINRIX 10 µg"
CIS-64068761,VAC0076,"DTVAX, suspension injectable en seringue préremplie vaccin diphtérique et tétanique adsorbé","DTVax"
CIS-66029173,VAC0076,"DTVAX, suspension injectable en multidose vaccin diphtérique et tétanique (adsorbé)","DTVax"
CIS-66313316,VAC0076,"DTVAX, suspension injectable vaccin diphtérique et tétanique (adsorbé)","DTVax"
CIS-66653055,VAC0078,"RUDI ROUVAX, poudre et solvant pour solution injectable. vaccin à virus vivants atténués contre la rougeole et la rubéole","RUDI-ROUVAX"
CIS-69220326,VAC0085,"T POLIO MERIEUX, suspension injectable","T POLIO MERIEUX"
CIS-60449213,VAC0172,"DIFTAVAX, suspension injectable en seringue préremplie. Vaccin diphtérique et tétanique adsorbé","DIFTAVAX"
CIS-62127143,VAC0172,"DIFTAVAX, suspension injectable en multidose. Vaccin diphtérique et tétanique adsorbé","DIFTAVAX"
CIS-63978823,VAC0172,"DIFTAVAX, suspension injectable en unidose, vaccin diphtérique et tetanique adsorbé","DIFTAVAX"
CIS-66958249,VAC0591,"VIVAXIM, suspension et solution pour suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé) et typhoïdique polyosidique","VIVAXIM"
CIS-68821434,VAC0615,"VACCIN T.P. PASTEUR, vaccin tétanique et poliomyélitique, suspension injectable","VACCIN T.P. PASTEUR"
CIS-64968141,VAC0846,"VACCIN POLIOMYELITIQUE ORAL BIVALENT TYPES 1 et 3, suspension buvable en récipient multidose","VACCIN POLIOMYELITIQUE ORAL BIVALENT TYPES 1 et 3"
CIS-62609613,VAC1017,"SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 microgrammes/50 microgrammes)/ml, dispersion injectable, Vaccin à ARNm contre la COVID-19","SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MODERNA"
CIS-68374353,VAC1017,"SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 (50 microgrammes/50 microgrammes)/mL, dispersion injectable. Vaccin à ARNm contre la COVID-19","SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MODERNA"
CIS-69401508,VAC1021,"COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 microgrammes)/dose, dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER"
CIS-65590890,VAC1023,"COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 microgrammes)/dose, dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER"
CIS-64089816,VAC1033,"COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 microgrammes)/dose, dispersion à diluer pour dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER"
CIS-69457407,VAC1036,"SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 microgrammes/25 microgrammes, dispersion injectable en seringue préremplie. Vaccin à ARNm contre la COVID-19","SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 µg/25 µg MODERNA"
CIS-69556437,VAC1036,"SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 microgrammes/25 microgrammes, dispersion injectable. Vaccin à ARNm contre la COVID-19","SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 µg/25 µg MODERNA"
CIS-60737692,VAC0004,"DT POLIO MERIEUX, suspension injectable","D.T. POLIO MERIEUX"
CIS-64269668,VAC0017,"M-M-RVAXPRO poudre et solvant pour suspension injectable en seringue préremplie.Vaccin rougeoleux, des oreillons, et rubéoleux (vivant).","M-M-RVAXPRO"
CIS-65194581,VAC0017,"M-M-RVAXPRO, poudre et solvant pour suspension injectable. Vaccin rougeoleux, des oreillons, et rubéoleux (vivant)","M-M-RVAXPRO"
CIS-67723510,VAC0027,"R.O.R. VAX, poudre et solvant pour suspension injectable. Vaccin rougeoleux, des oreillons et rubéoleux atténué.","R.O.R. VAX"
CIS-60917345,VAC0030,"REVAXIS, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique et poliomyélitique (inactivé), adsorbé, à teneur réduite en antigènes","REVAXIS"
CIS-64098181,VAC0044,"CERVARIX, suspension injectable en seringue pré-remplie .Vaccin Papillomavirus Humain [Types 16, 18] (Recombinant, avec adjuvant, adsorbé)","CERVARIX"
CIS-64995512,VAC0044,"CERVARIX, suspension injectable en flacon. Vaccin Papillomavirus Humain [Types 16, 18] (Recombinant, avec adjuvant, adsorbé)","CERVARIX"
CIS-61896473,VAC0053,"PRIORIX, poudre et solvant pour solution injectable en seringue préremplie. Vaccin rougeoleux, des oreillons et rubéoleux vivant","PRIORIX"
CIS-62245818,VAC0074,"D.T.COQ., suspension injectable (I.M.) en seringue pré-remplie. vaccin diphtérique, tétanique, coquelucheux adsorbé","D.T. COQ MERIEUX"
CIS-66682480,VAC0074,"D.T.COQ., suspension injectable (I.M.) en flacon multidose. vaccin diphtérique, tétanique, coquelucheux adsorbé","D.T. COQ MERIEUX"
CIS-65513082,VAC0116,"R.O.R., poudre et solvant pour solution injectable. vaccin à virus vivants atténués contre la rougeole, les oreillons et la rubéole","R.O.R SANOFI PASTEUR"
CIS-62497235,VAC0479,"TRIAXIS, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique et coquelucheux (acellulaire, multicomposé) (adsorbé, à teneur réduite en antigène(s))","TRIAXIS"
CIS-67095728,VAC0479,"TRIAXIS, suspension injectable. Vaccin diphtérique, tétanique et coquelucheux (acellulaire, multicomposé) (adsorbé, à teneur réduite en antigène(s))","TRIAXIS"
CIS-64849952,VAC0541,"BOOSTRIX, suspension injectable en seringue préremplie Vaccin diphtérique, tétanique et coquelucheux (acellulaire multicomposé), (adsorbé, à teneur réduite en antigènes)","BOOSTRIX"
CIS-66045366,VAC0542,"VACCIN D.T.P. PASTEUR, vaccin diphtérique, tétanique, poliomyélitique, suspension injectable","Vaccin D.T.P. Pasteur"
CIS-67968260,VAC0546,"DULTAVAX, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique et poliomyélitique (inactivé), adsorbé, à teneur réduite en antigènes","DULTAVAX"
CIS-62266716,VAC0632,"OPVERO, suspension buvable en récipient multidose. Vaccin poliomyélitique oral (trivalent, vivant)","OPVERO"
CIS-61908445,VAC0645,"IMMU ORR, poudre et solvant pour suspension injectable. Vaccin rougeoleux, des oreillons et rubéoleux, atténué.","IMMU ORR"
CIS-61145626,VAC0018,"MENCEVAX, poudre et solvant pour solution injectable multidose. Vaccin méningococcique polyosidique des groupes A, C, Yet W135","MENCEVAX"
CIS-62429031,VAC0018,"MENCEVAX, poudre et solvant pour solution injectable en seringue préremplie. Vaccin méningococcique polyosidique des groupes A, C, Y, et W135","MENCEVAX"
CIS-64234891,VAC0018,"MENCEVAX, poudre et solvant pour solution injectable. Vaccin méningococcique polyosidique des groupes A, C, Y et W135","MENCEVAX"
CIS-67619892,VAC0029,"REPEVAX, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigène(s))","REPEVAX"
CIS-66543281,VAC0037,"TETRAVAC-ACELLULAIRE, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux acellulaire et poliomyélitique (inactivé), adsorbé","TETRAVAC-ACELLULAIRE"
CIS-62404793,VAC0043,"BOOSTRIXTETRA, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigènes)","BOOSTRIXTETRA"
CIS-62996633,VAC0043,"BOOSTRIXTETRA, suspension injectable. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé, adsorbé)","BOOSTRIXTETRA"
CIS-61294723,VAC0051,"INFANRIXTETRA, suspension injectable. Vaccin diphtérique, tétanique, coquelucheux acellulaire, poliomyélitique inactivé, adsorbé","INFANRIXTETRA"
CIS-69777706,VAC0051,"INFANRIXTETRA, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux acellulaire, poliomyélitique inactivé, adsorbé","INFANRIXTETRA"
CIS-62224329,VAC0063,"TETRACOQ, suspension injectable (I.M.) en flacon multidose. vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé adsorbé","TETRACOQ"
CIS-69960198,VAC0063,"TETRACOQ, suspension injectable (I.M.), en seringue pré-remplie. vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé adsorbé","TETRACOQ"
CIS-61485073,VAC0066,"VACCIN D.T.C.P. PASTEUR, suspension injectable (I.M.), en flacon multidose, vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé adsorbé","DTCP PASTEUR"
CIS-67956272,VAC0066,"VACCIN D.T.C.P. PASTEUR, suspension injectable (I.M.), en ampoule, vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé adsorbé","DTCP PASTEUR"
CIS-69344053,VAC0066,"VACCIN D.T.C.P. PASTEUR, suspension injectable (I.M.), en seringue pré-remplie, vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé adsorbé","DTCP PASTEUR"
CIS-61286406,VAC0069,"MENOMUNE, poudre et solvant pour solution injectable, vaccin méningococcique polyosidique A, C, Y, W135","MENOMUNE"
CIS-66718236,VAC0121,"PRIORIX-TETRA, poudre et solvant pour solution injectable en seringue préremplie. Vaccin rougeoleux, des oreillons, rubéoleux et varicelleux (vivant)","PRIORIX-TETRA"
CIS-67106701,VAC0121,"PRIORIX-TETRA, poudre et solvant pour solution injectable. Vaccin rougeoleux, des oreillons, rubéoleux et varicelleux (vivant)","PRIORIX-TETRA"
CIS-68046787,VAC0141,"MENVEO, poudre et solution pour solution injectable. Vaccin méningococcique des groupes A, C, W-135 et Y conjugué","MENVEO"
CIS-60250909,VAC0174,"PROQUAD, poudre et solvant pour suspension injectable. Vaccin rougeoleux, des oreillons, rubéoleux et varicelleux (vivant).","PROQUAD"
CIS-65767967,VAC0174,"PROQUAD, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin rougeoleux, des oreillons, rubéoleux et varicelleux (vivant).","PROQUAD"
CIS-64037506,VAC0390,"TETRACT-HIB, poudre et suspension pour suspension injectable en seringue préremplie à double compartiment - vaccin diphtérique, tétanique, pertussique adsorbé et Haemophilus type b conjugué","TETRACT-HIB"
CIS-64678177,VAC0390,"TETRAct-HIB, poudre et suspension pour suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux et conjugué de l’Haemophilus type b, adsorbé","TETRACT-HIB"
CIS-69742160,VAC0390,"TETRAct-HIB, poudre et suspension pour suspension injectable en multidose. Vaccin diphtérique, tétanique, coquelucheux et conjugué de l’Haemophilus type b, adsorbé","TETRACT-HIB"
CIS-69241562,VAC0486,"NIMENRIX, poudre et solvant pour solution injectable. Vaccin méningococcique conjugué des groupes A, C, W135 et Y","NIMENRIX"
CIS-61779744,VAC0544,"TETRAXIM, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux acellulaire et poliomyélitique (inactivé), adsorbé","TETRAXIM"
CIS-67628592,VAC0544,"TETRAXIM, suspension injectable en multidose. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé) et poliomyélitique (inactivé), adsorbé","TETRAXIM"
CIS-63064137,VAC0594,"MENQUADFI, solution injectable. Vaccin méningococcique conjugué des groupes A,C,W et Y","MenQuadfi"
CIS-68005349,VAC0007,"GARDASIL, suspension injectable. Vaccin Papillomavirus Humain [Types 6, 11, 16, 18] (Recombinant, adsorbé)","GARDASIL"
CIS-69604608,VAC0007,"GARDASIL, suspension injectable en seringue préremplie. Vaccin Papillomavirus Humain [Types 6, 11, 16, 18] (Recombinant, adsorbé)","GARDASIL"
CIS-69543678,VAC0015,"INFANRIXQUINTA, poudre et suspension pour suspension injectable. Vaccin diphtérique (D), tétanique (T), coquelucheux (acellulaire, multicomposé) (Ca), poliomyélitique (inactivé) (P) et conjugué de l’Haemophilus influenzae type b (Hib), adsorbé","INFANRIXQUINTA"
CIS-69811279,VAC0023,"PENTAVAC, poudre et suspension pour suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé), poliomyélitique (inactivé) et conjugué de l'haemophilus type b, adsorbé","PENTAVAC"
CIS-60906295,VAC0064,"PENTACOQ, poudre et suspension pour suspension injectable (I.M., S.C.), en flacon et seringue pré-remplie. vaccin Haemophilus type b conjugué et vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé, adsorbé","PENTACOQ"
CIS-66878269,VAC0064,"PENTACOQ, poudre et suspension pour suspension injectable (I.M., S.C.) en seringue pré-remplie à deux compartiments. vaccin Haemophilus type b conjugué et vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé adsorbé","PENTACOQ"
CIS-69225227,VAC0064,"PENTACOQ, poudre et suspension pour suspension injectable en multidose vaccin diphtérique, tétanique, pertussique, poliomyélitique inactivé, adsorbé et vaccin haemophilus influenzae b","PENTACOQ"
CIS-65581667,VAC0139,"PENT- HIBest, poudre et suspension pour suspension injectable (I.M., S.C.), en flacon et seringue pré-remplie. vaccin Haemophilus type b conjugué et vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé, adsorbé","PENT-HIBEST"
CIS-69510030,VAC0139,"PENT- HIBest, poudre et suspension pour suspension injectable (I.M., S.C.), en seringue pré-remplie à deux compartiments. vaccin Haemophilus type b conjugué et vaccin diphtérique, tétanique, coquelucheux et poliomyélitique inactivé, absorbé","PENT-HIBEST"
CIS-68511072,VAC0488,"PENTAXIM, poudre et suspension pour suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé), poliomyélitique (inactivé) et conjugué de l'haemophilus type b, adsorbé","PENTAXIM"
CIS-63449001,VAC0554,"PEDIACEL, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé), poliomyélitique (inactivé) et conjugué de l'Haemophilus type b (adsorbé)","PEDIACEL"
CIS-62966063,VAC0014,"INFANRIX hexa, poudre et suspension pour suspension injectable en seringue préremplie. Vaccin diphtérique(D), tétanique(T), coquelucheux (acellulaire, multicomposé)(Ca), de l'hépatite B (ADNr)(HepB), poliomyélitique(inactivé)(P) et de l'Haemophilus influe","INFANRIX HEXA"
CIS-68412220,VAC0098,"HEXAVAC, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux acellulaire, poliomyélitique inactivé, de l'hépatite B (recombinant) et de l'Haemophilus influenzae type b conjugué, adjuvé","HEXAVAC"
CIS-60645557,VAC0510,"HEXYON, suspension injectable en seringue préremplie","HEXYON"
CIS-63483103,VAC0510,"HEXYON, suspension injectable","HEXYON"
CIS-69688620,VAC0535,"VAXELIS, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire, multicomposé), de l'hépatite B (ADNr), poliomyélitique (inactivé) et conjugué de l'Haemophilus de type b (adsorbé)","VAXELIS"
CIS-64178243,VAC0025,"PREVENAR, suspension injectable en seringue préremplie. Vaccin pneumococcique osidique conjugué adsorbé","PREVENAR"
CIS-65598079,VAC0025,"PREVENAR, suspension injectable. Vaccin pneumococcique osidique conjugué adsorbé","PREVENAR"
CIS-68957822,VAC0083,"SYNFLORIX, suspension injectable en seringue préremplie. Vaccin pneumococcique polyosidique conjugué (adsorbé)","SYNFLORIX"
CIS-61429103,VAC0523,"GARDASIL 9, suspension injectable. Vaccin Papillomavirus Humain 9-valent (Recombinant, adsorbé)","GARDASIL 9"
CIS-65017887,VAC0523,"GARDASIL 9, suspension injectable en seringue préremplie. Vaccin Papillomavirus Humain 9-valent (Recombinant, adsorbé)","GARDASIL 9"
CIS-67786749,VAC0123,"PREVENAR 13 suspension injectable. Vaccin pneumococcique polyosidique conjugué (13-valent, adsorbé)","PREVENAR 13"
CIS-64355843,VAC0780,"VAXNEUVANCE, suspension injectable en seringue préremplie.Vaccin pneumococcique polyosidique conjugué (15-valent, adsorbé)","VAXNEUVANCE"
CIS-69311587,VAC0847,"VACCIN PNEUMOCOCCIQUE SARBACH, solution injectable, seringue pré-remplie montée avec aiguille","VACCIN PNEUMOCOCCIQUE SARBACH"
CIS-62189757,VAC0900,"PREVENAR 20, suspension injectable en seringue préremplie. Vaccin pneumococcique polyosidique conjugué (20-valent, adsorbé)","PREVENAR 20 (previously APEXXNAR)"
CIS-69077052,VAC1254,"CAPVAXIVE, solution injectable en seringue préremplie. Vaccin pneumococcique polyosidique conjugué (21-valent)","CAPVAXIVE"
CIS-65861879,VAC0024,"PNEUMO 23, solution injectable en seringue pré-remplie. vaccin pneumococcique polyosidique","PNEUMO 23"
CIS-68819650,VAC0024,"PNEUMO 23 , solution injectable en récipient multidose, vaccin pneumococcique polyosidique","PNEUMO 23"
CIS-60614280,VAC0336,"PNEUMOVAX, solution injectable en seringue préremplie. Vaccin pneumococcique polyosidique","PNEUMOVAX"
CIS-64964125,VAC0336,"PNEUMOVAX en seringue préremplie, vaccin pneumococcique polyosidique","PNEUMOVAX"
CIS-66229252,VAC0336,"PNEUMOVAX solution injectable en flacon. Vaccin pneumococcique polyosidique","PNEUMOVAX"
CIS-69491701,VAC0337,"PNU-IMUNE 23, solution injectable en seringue préremplie. Vaccin pneumococcique polysaccharidique","PNU-IMUNE 23"
CIS-67638273,VAC0936,"VACCIN PNEUMOCOCCIQUE POLYOSIDIQUE AVENTIS PASTEUR MSD, en seringue préremplie, vaccin pneumococcique polyosidique","VACCIN PNEUMOCOCCIQUE POLYOSIDIQUE AVENTIS PASTEUR MSD"
CIS-61104024,#MISS,"ACT-HIB 10 microgrammes/0,5 mL, poudre et solvant pour solution injectable en seringue préremplie. Vaccin conjugué de l'Haemophilus type b",
CIS-68185025,#MISS,"COMIRNATY LP.8.1 30 microgrammes/dose, dispersion injectable en seringue préremplie. Vaccin à ARNm contre la COVID-19",
CIS-69531754,#MISS,"FLUARIX suspension injectable en seringue préremplie.Vaccin grippal trivalent (à virion fragmenté, inactivé)",
CIS-66173309,#MISS,"MENVEO, solution injectable. Vaccin méningococcique des groupes A, C, W-135 et Y conjugué",
CIS-67125993,#MISS,"NUVAXOVID JN.1, dispersion injectable en seringue préremplie. Vaccin contre la COVID-19 (recombinant, avec adjuvant)",
CIS-64317376,#MISS,"SHINGRIX, suspension injectable en seringue préremplie. Vaccin zona (recombinant, avec adjuvant)",
CIS-63987943,#MISS,"SPIKEVAX JN.1 50 microgrammes, dispersion injectable en seringue préremplie. Vaccin à ARNm contre la COVID-19",
CIS-60279939,#MISS,"VACCIN COVID-19 VALNEVA (inactivé, avec adjuvant), suspension injectable. Vaccin contre la COVID-19 (inactivé, avec adjuvant, adsorbé)",
CIS-61310501,#MISS,"VACCINOTOXINUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH",
CIS-60509774,#MISS,"ZOONOTIC INFLUENZA VACCINE SEQIRUS, suspension injectable en seringue préremplie.Vaccin grippal zoonotique (H5N8) (antigène de surface, inactivé, avec adjuvant).",
CIS-63809339,#MISS,"mNEXSPIKE, dispersion injectable en seringue préremplie. Vaccin à ARNm contre la COVID-19",
